cboard,total,Median_Minutes,min0->5,min30->60,min360+,min5->30,min60->360,Action,Miss,No-Action,Summon
101,750,34.42,23.0,274.0,1.0,292.0,160.0,252.0,202.0,242.0,54.0
102,2261,25.48,150.0,619.0,15.0,1173.0,304.0,501.0,978.0,759.0,23.0
103,3773,27.93,134.0,1170.0,14.0,1905.0,550.0,1108.0,1276.0,1319.0,70.0
104,931,33.28,19.0,298.0,12.0,396.0,206.0,158.0,291.0,450.0,32.0
105,1834,34.1,93.0,478.0,57.0,734.0,472.0,343.0,613.0,851.0,27.0
106,1118,22.55,81.0,241.0,21.0,621.0,154.0,135.0,348.0,616.0,19.0
107,2157,26.85,71.0,685.0,1.0,1168.0,232.0,758.0,312.0,991.0,96.0
108,1838,37.04,195.0,485.0,99.0,562.0,497.0,283.0,541.0,1001.0,13.0
109,635,35.12,10.0,238.0,1.0,250.0,136.0,185.0,142.0,287.0,21.0
110,2700,31.97,202.0,688.0,43.0,1090.0,677.0,789.0,748.0,1142.0,21.0
111,1177,27.22,64.0,385.0,6.0,604.0,118.0,364.0,220.0,584.0,9.0
112,629,57.27,10.0,136.0,39.0,181.0,263.0,185.0,128.0,253.0,63.0
164,20,23.62,0.0,4.0,0.0,12.0,4.0,1.0,3.0,16.0,0.0
201,163,120.47,2.0,16.0,24.0,13.0,108.0,24.0,26.0,111.0,2.0
202,135,67.87,0.0,27.0,1.0,23.0,84.0,62.0,14.0,54.0,5.0
203,145,166.28,1.0,13.0,28.0,16.0,87.0,31.0,20.0,83.0,11.0
204,264,102.4,0.0,51.0,43.0,26.0,144.0,38.0,47.0,156.0,23.0
205,2396,58.2,125.0,596.0,144.0,514.0,1017.0,287.0,595.0,1368.0,146.0
206,250,166.62,0.0,44.0,64.0,23.0,119.0,40.0,68.0,119.0,23.0
207,437,46.32,11.0,140.0,19.0,113.0,154.0,101.0,167.0,146.0,23.0
208,167,132.03,0.0,20.0,31.0,13.0,103.0,22.0,82.0,50.0,13.0
209,156,146.06,0.0,14.0,34.0,23.0,85.0,17.0,26.0,102.0,11.0
210,23,356.82,0.0,1.0,11.0,0.0,11.0,2.0,8.0,11.0,2.0
211,218,140.31,2.0,35.0,40.0,35.0,106.0,59.0,66.0,86.0,7.0
212,173,195.03,2.0,25.0,48.0,9.0,89.0,31.0,56.0,68.0,18.0
226,51,75.68,1.0,10.0,7.0,7.0,26.0,6.0,21.0,24.0,0.0
227,25,42.6,0.0,7.0,0.0,12.0,6.0,6.0,2.0,13.0,4.0
228,1,251.53,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
301,1828,53.34,41.0,402.0,81.0,533.0,771.0,299.0,601.0,838.0,90.0
302,8798,70.07,271.0,2000.0,95.0,1509.0,4923.0,2241.0,3506.0,2834.0,217.0
303,704,31.4,43.0,227.0,3.0,288.0,143.0,166.0,173.0,343.0,22.0
304,527,58.58,4.0,161.0,10.0,107.0,245.0,225.0,166.0,117.0,19.0
305,107,144.3,1.0,20.0,16.0,7.0,63.0,14.0,32.0,51.0,10.0
306,5056,27.11,571.0,1680.0,1.0,2148.0,656.0,1146.0,1892.0,1991.0,27.0
307,299,50.48,5.0,92.0,3.0,78.0,121.0,93.0,91.0,112.0,3.0
308,2466,40.56,98.0,890.0,9.0,783.0,686.0,711.0,827.0,901.0,27.0
309,115,65.67,0.0,23.0,8.0,31.0,53.0,34.0,49.0,26.0,6.0
310,231,49.03,15.0,65.0,7.0,58.0,86.0,92.0,78.0,57.0,4.0
311,34,90.69,0.0,3.0,0.0,10.0,21.0,5.0,12.0,15.0,2.0
312,31,55.4,0.0,8.0,1.0,10.0,12.0,2.0,11.0,18.0,0.0
313,263,31.38,3.0,102.0,1.0,120.0,37.0,129.0,49.0,61.0,24.0
314,113,73.05,0.0,21.0,5.0,25.0,62.0,22.0,40.0,43.0,8.0
315,115,102.2,0.0,24.0,22.0,13.0,56.0,15.0,62.0,33.0,5.0
316,19,89.98,1.0,3.0,0.0,4.0,11.0,6.0,5.0,6.0,2.0
317,32,58.72,0.0,7.0,1.0,9.0,15.0,5.0,12.0,11.0,4.0
318,56,57.92,2.0,19.0,2.0,8.0,25.0,27.0,14.0,11.0,4.0
355,3,22.32,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
356,1,388.8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
401,1356,81.39,25.0,241.0,146.0,253.0,691.0,401.0,641.0,252.0,62.0
402,2449,34.23,158.0,664.0,55.0,967.0,605.0,1141.0,318.0,921.0,69.0
403,76,56.79,2.0,22.0,3.0,15.0,34.0,14.0,30.0,29.0,3.0
404,329,56.75,12.0,86.0,30.0,70.0,131.0,143.0,63.0,120.0,3.0
405,104,243.7,1.0,12.0,30.0,4.0,57.0,13.0,54.0,27.0,10.0
406,386,42.28,16.0,106.0,5.0,126.0,133.0,68.0,114.0,197.0,7.0
407,122,66.38,0.0,22.0,12.0,30.0,58.0,35.0,54.0,31.0,2.0
408,26,91.24,1.0,3.0,8.0,4.0,10.0,3.0,8.0,12.0,3.0
409,14,130.61,0.0,2.0,0.0,1.0,11.0,3.0,2.0,8.0,1.0
410,39,218.92,0.0,2.0,12.0,5.0,20.0,5.0,7.0,22.0,5.0
411,143,94.22,2.0,35.0,18.0,17.0,71.0,34.0,55.0,43.0,11.0
412,16,48.97,0.0,9.0,1.0,3.0,3.0,4.0,2.0,7.0,3.0
413,14,126.87,0.0,1.0,2.0,1.0,10.0,5.0,1.0,6.0,2.0
414,113,50.15,1.0,40.0,1.0,29.0,42.0,34.0,10.0,54.0,15.0
481,4,82.88,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0
484,1,94.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
501,44,76.88,1.0,7.0,0.0,11.0,25.0,14.0,15.0,14.0,1.0
502,27,36.55,0.0,11.0,1.0,7.0,8.0,10.0,3.0,11.0,3.0
503,30,38.67,0.0,10.0,0.0,10.0,10.0,11.0,4.0,14.0,1.0
595,1,53.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
