cboard,community_board,cboard_expand,total,Median_Minutes,Mean_Minutes,InAction_Rate,min0->5,min5->30,min30->60,min60->360,min360+,Late,Action,No-Action,Summon
101,01 MANHATTAN,"Man_01: Tribeca, Finanical District, Civic Center, Battery Park",763,34.53,47.95,0.6,23.0,295.0,280.0,164.0,1.0,205.0,253.0,249.0,56.0
102,02 MANHATTAN,"Man_02: Soho, Greenwich Village, Little Italy",2316,25.51,43.01,0.77,150.0,1202.0,634.0,314.0,16.0,995.0,512.0,785.0,24.0
103,03 MANHATTAN,"Man_03: East Village , Chinatown, Lower EastSide, Noho",3887,28.23,40.19,0.69,135.0,1942.0,1207.0,585.0,18.0,1319.0,1142.0,1349.0,77.0
104,04 MANHATTAN,"Man_04: Chelsea, Clinton, Columbus Circle",949,33.42,57.03,0.8,19.0,401.0,301.0,213.0,15.0,302.0,160.0,453.0,34.0
105,05 MANHATTAN,"Man_05: Midtown, Flatiron, Union Square, Times Square",1886,35.06,80.45,0.8,93.0,739.0,482.0,489.0,83.0,651.0,344.0,863.0,28.0
106,06 MANHATTAN,"Man_06: Turtle Bay, Gramercy, Murray Hill, Tudor City, Sutton Place",1141,22.55,47.13,0.87,84.0,634.0,243.0,157.0,23.0,359.0,135.0,628.0,19.0
107,07 MANHATTAN,"Man_07: Upper West Side, Manhattan Valley, Lincoln Square",2188,26.78,33.03,0.6,71.0,1189.0,692.0,235.0,1.0,318.0,770.0,1000.0,100.0
108,08 BRONX,"Man_08: Upper East Side, Yorkville, Lenox Hill, Mill Rock",3,38.97,102.21,542.33,195.0,565.0,487.0,566.0,134.0,569.0,306.0,1058.0,14.0
108,08 MANHATTAN,"Man_08: Upper East Side, Yorkville, Lenox Hill, Mill Rock",1944,38.97,102.21,0.84,195.0,565.0,487.0,566.0,134.0,569.0,306.0,1058.0,14.0
109,09 MANHATTAN,"Man_09: Hamiliton Heights, Morningside Heights, Manhattanville, Colombia U.",640,35.28,48.65,0.67,10.0,251.0,240.0,138.0,1.0,143.0,188.0,287.0,22.0
110,10 MANHATTAN,Man_10: Central Harlem,2755,32.57,61.34,0.7,206.0,1095.0,692.0,715.0,47.0,785.0,794.0,1152.0,24.0
111,11 MANHATTAN,"Man_11: Marcus Garvey, East Harlem",1196,27.22,35.5,0.69,64.0,614.0,394.0,118.0,6.0,223.0,367.0,597.0,9.0
112,12 MANHATTAN,"Man_12: Inwood, Washington Heights",641,58.38,122.21,0.61,10.0,181.0,139.0,268.0,43.0,132.0,187.0,258.0,64.0
164,64 MANHATTAN,Man_64: Central Park,20,23.62,44.02,0.95,0.0,12.0,4.0,4.0,0.0,3.0,1.0,16.0,0.0
