precinct,precinct_name,InAction_Rate,total,Median_Minutes,Mean_Minutes,min0->5,min5->30,min30->60,min60->360,min360+,NYPD_Late,NYPD_No-Action,NYPD_Action,NYPD_Summon
1,Precinct# 1,0.71,1192,35.04,49.88,21.0,479.0,417.0,271.0,4.0,560.0,281.0,310.0,41.0
10,Precinct# 10,0.85,550,33.56,45.57,10.0,226.0,194.0,120.0,0.0,170.0,295.0,65.0,20.0
100,Precinct# 100,0.58,71,49.9,57.23,0.0,18.0,26.0,27.0,0.0,7.0,34.0,27.0,3.0
101,Precinct# 101,0.55,44,52.64,70.09,1.0,11.0,15.0,16.0,1.0,3.0,21.0,8.0,12.0
102,Precinct# 102,0.71,14,130.61,129.87,0.0,1.0,2.0,11.0,0.0,2.0,8.0,3.0,1.0
103,Precinct# 103,0.54,13,46.67,67.94,0.0,3.0,8.0,1.0,1.0,2.0,5.0,3.0,3.0
104,Precinct# 104,0.78,106,243.7,293.41,1.0,4.0,12.0,59.0,30.0,57.0,26.0,13.0,10.0
105,Precinct# 105,0.5,14,126.87,183.37,0.0,1.0,1.0,10.0,2.0,1.0,6.0,5.0,2.0
106,Precinct# 106,0.74,39,218.92,372.75,0.0,5.0,2.0,20.0,12.0,7.0,22.0,5.0,5.0
107,Precinct# 107,0.79,29,84.72,255.13,3.0,4.0,3.0,11.0,8.0,8.0,15.0,3.0,3.0
108,Precinct# 108,0.51,2468,34.38,61.47,158.0,967.0,665.0,621.0,57.0,322.0,929.0,1147.0,70.0
109,Precinct# 109,0.7,123,66.52,154.12,0.0,30.0,22.0,58.0,13.0,55.0,31.0,35.0,2.0
110,Precinct# 110,0.56,345,62.1,149.35,12.0,72.0,86.0,139.0,36.0,65.0,127.0,150.0,3.0
111,Precinct# 111,0.68,145,94.22,158.85,2.0,17.0,35.0,73.0,18.0,55.0,44.0,35.0,11.0
112,Precinct# 112,0.81,387,42.07,69.6,16.0,127.0,106.0,133.0,5.0,114.0,198.0,68.0,7.0
113,Precinct# 113,0.67,3,158.55,122.28,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0
114,Precinct# 114,0.66,1369,81.95,152.64,25.0,255.0,244.0,692.0,153.0,654.0,253.0,400.0,62.0
115,Precinct# 115,0.78,79,65.33,100.99,2.0,15.0,22.0,37.0,3.0,33.0,29.0,14.0,3.0
120,Precinct# 120,0.68,41,79.77,97.21,1.0,11.0,6.0,22.0,1.0,14.0,14.0,13.0,0.0
121,Precinct# 121,0.5,28,37.83,79.89,0.0,7.0,11.0,9.0,1.0,3.0,11.0,11.0,3.0
122,Precinct# 122,0.62,8,70.97,98.24,0.0,0.0,3.0,5.0,0.0,2.0,3.0,2.0,1.0
123,Precinct# 123,0.63,27,38.52,53.89,0.0,10.0,9.0,8.0,0.0,4.0,13.0,9.0,1.0
13,Precinct# 13,0.87,794,29.08,100.85,58.0,352.0,160.0,159.0,65.0,397.0,296.0,86.0,15.0
14,Precinct# 14,0.78,648,29.19,62.87,53.0,281.0,157.0,136.0,21.0,159.0,345.0,132.0,12.0
17,Precinct# 17,0.86,962,21.89,33.29,63.0,566.0,204.0,128.0,1.0,282.0,544.0,119.0,17.0
18,Precinct# 18,0.75,1022,41.92,80.02,11.0,349.0,311.0,317.0,34.0,305.0,465.0,235.0,17.0
19,Precinct# 19,0.84,1939,38.95,101.93,195.0,563.0,485.0,563.0,133.0,566.0,1055.0,305.0,13.0
20,Precinct# 20,0.53,1268,30.29,37.33,33.0,592.0,464.0,178.0,1.0,176.0,495.0,515.0,82.0
22,Precinct# 22,0.6,92,27.78,44.16,1.0,54.0,21.0,15.0,1.0,14.0,41.0,36.0,1.0
23,Precinct# 23,0.67,468,30.46,38.81,7.0,221.0,177.0,63.0,0.0,120.0,194.0,149.0,5.0
24,Precinct# 24,0.72,852,21.62,26.09,38.0,557.0,211.0,46.0,0.0,132.0,480.0,223.0,17.0
25,Precinct# 25,0.69,732,24.94,33.36,58.0,394.0,219.0,55.0,6.0,104.0,404.0,220.0,4.0
26,Precinct# 26,0.75,251,29.95,34.58,3.0,123.0,100.0,25.0,0.0,75.0,113.0,61.0,2.0
28,Precinct# 28,0.7,2644,31.93,60.09,205.0,1066.0,655.0,675.0,43.0,776.0,1087.0,760.0,21.0
30,Precinct# 30,0.62,392,38.97,57.63,7.0,129.0,142.0,113.0,1.0,68.0,176.0,128.0,20.0
32,Precinct# 32,0.68,105,48.63,94.17,0.0,27.0,34.0,40.0,4.0,8.0,63.0,31.0,3.0
33,Precinct# 33,0.77,244,45.3,71.03,3.0,74.0,76.0,91.0,0.0,39.0,148.0,47.0,10.0
34,Precinct# 34,0.51,397,64.97,153.67,7.0,107.0,63.0,177.0,43.0,93.0,110.0,140.0,54.0
40,Precinct# 40,0.84,163,122.53,253.48,2.0,13.0,15.0,108.0,25.0,26.0,111.0,24.0,2.0
41,Precinct# 41,0.51,136,68.06,99.84,0.0,23.0,26.0,86.0,1.0,14.0,56.0,61.0,5.0
42,Precinct# 42,0.71,153,166.78,273.39,1.0,16.0,14.0,88.0,34.0,20.0,88.0,32.0,13.0
43,Precinct# 43,0.82,155,146.02,272.39,0.0,23.0,14.0,84.0,34.0,26.0,101.0,17.0,11.0
44,Precinct# 44,0.77,269,101.93,206.84,0.0,27.0,52.0,147.0,43.0,47.0,161.0,38.0,23.0
45,Precinct# 45,0.83,24,356.4,431.74,0.0,0.0,1.0,12.0,11.0,9.0,11.0,2.0,2.0
46,Precinct# 46,0.82,2440,58.5,115.66,125.0,517.0,611.0,1042.0,145.0,614.0,1393.0,287.0,146.0
47,Precinct# 47,0.73,196,215.94,526.2,2.0,9.0,25.0,96.0,64.0,64.0,79.0,32.0,21.0
48,Precinct# 48,0.73,278,128.2,228.51,0.0,35.0,51.0,128.0,64.0,72.0,132.0,47.0,27.0
49,Precinct# 49,0.7,226,145.48,214.07,2.0,35.0,35.0,110.0,44.0,71.0,87.0,60.0,8.0
5,Precinct# 5,0.54,1036,26.04,31.46,42.0,553.0,357.0,81.0,3.0,262.0,302.0,438.0,34.0
50,Precinct# 50,0.82,222,116.52,222.38,1.0,20.0,31.0,132.0,38.0,105.0,76.0,28.0,13.0
52,Precinct# 52,0.72,447,47.4,120.56,11.0,113.0,141.0,161.0,21.0,174.0,148.0,101.0,24.0
