Address,longitude,latitude,rank,Action_rank,cboard,precinct,InAction_Rate,total,Median_Minutes,Mean_Minutes,min0->5,min5->30,min30->60,min60->360,min360+,NYPD_Late,NYPD_No-Action,NYPD_Action,NYPD_Summon
3362 Park Avenue,-73.9110307975753,40.828229302929806,High,Medium,203,42,0.54,26,624.86,568.34,0.0,1.0,2.0,7.0,16.0,0.0,14.0,6.0,6.0
6035 Broadway,-73.89721602292168,40.89185920052552,High,High,208,50,0.88,33,179.27,243.1,0.0,0.0,5.0,22.0,6.0,23.0,6.0,2.0,2.0
415 Pearl Street,-73.9885870428106,40.69145133628108,High,High,302,84,0.82,34,160.13,188.72,0.0,1.0,3.0,26.0,4.0,20.0,8.0,5.0,1.0
1950 Lafayette Avenue,-73.85735590516272,40.822126040600146,High,High,209,43,0.78,55,139.92,223.32,0.0,10.0,4.0,30.0,11.0,6.0,37.0,5.0,7.0
2450 Grand Concourse,-73.89784919304213,40.86111920072789,High,High,205,46,0.91,54,133.82,304.94,2.0,8.0,6.0,25.0,13.0,13.0,36.0,5.0,0.0
32-20 Northern Boulevard,-73.93179931060918,40.75197010230137,High,Medium,401,114,0.67,45,105.28,196.9,1.0,11.0,5.0,22.0,6.0,26.0,4.0,15.0,0.0
50 Johnson Street,-73.98839891433751,40.69499755865501,High,Low,302,84,0.42,26,102.5,129.47,0.0,0.0,7.0,19.0,0.0,6.0,5.0,12.0,3.0
413 Fulton Street,-73.98856532073218,40.69195362689662,High,High,302,84,0.84,37,102.27,136.84,2.0,2.0,6.0,24.0,3.0,25.0,6.0,6.0,0.0
50-43 192 Street,-73.78688635933447,40.7476869923189,High,Medium,411,111,0.59,34,100.44,196.82,0.0,2.0,8.0,18.0,6.0,12.0,8.0,9.0,5.0
140 Schermerhorn Street,-73.98814379990745,40.689798940160095,High,Medium,302,84,0.64,28,96.08,118.02,0.0,2.0,4.0,22.0,0.0,8.0,10.0,10.0,0.0
300 Schermerhorn Street,-73.98249033007562,40.687583189195095,High,Medium,302,84,0.71,41,95.87,114.28,0.0,3.0,6.0,32.0,0.0,21.0,8.0,11.0,1.0
1 Boerum Place,-73.98904130411752,40.6920195476655,High,Medium,302,84,0.55,44,93.59,131.67,0.0,2.0,5.0,35.0,2.0,18.0,6.0,17.0,3.0
496 Fulton Street,-73.9830450751783,40.68972693788749,High,High,302,84,0.82,39,91.37,106.34,0.0,5.0,7.0,27.0,0.0,21.0,11.0,7.0,0.0
335 Adams Street,-73.98890762428404,40.6935648397304,High,Medium,302,84,0.66,41,90.92,94.85,0.0,1.0,14.0,26.0,0.0,23.0,4.0,13.0,1.0
163 Smith Street,-73.99075856566026,40.6862776392977,High,High,302,84,0.94,34,90.6,92.1,1.0,5.0,4.0,24.0,0.0,23.0,9.0,2.0,0.0
1843 Grand Concourse,-73.90730305681124,40.84805141612977,High,High,205,46,0.92,39,87.97,145.37,0.0,5.0,9.0,23.0,2.0,14.0,22.0,2.0,1.0
