year,dateTime,bias,crime_Category,offense1,description,borough,precinct,month_bin,index_
2019,2019-12-12,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Manhattan,24,12,1
2019,2019-10-07,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,41,10,1
2019,2019-06-13,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,46,6,1
2019,2019-09-22,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,48,9,1
2019,2019-10-21,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,48,10,1
2019,2019-05-05,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,52,5,1
2020,2020-04-25,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,44,16,1
2020,2020-09-01,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,44,21,1
2020,2020-06-18,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,45,18,1
2020,2020-11-07,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,45,23,1
2020,2020-01-26,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,50,13,1
2020,2020-10-09,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,50,22,1
2020,2020-04-26,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,120,16,1
2020,2020-06-04,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,120,18,1
2020,2020-06-23,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,121,18,1
2020,2020-07-04,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,122,19,1
2021,2021-02-10,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,43,26,1
2021,2021-10-02,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,47,34,1
2021,2021-05-12,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,48,29,1
2021,2021-08-05,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,120,32,1
2021,2021-10-12,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,121,34,1
2021,2021-11-10,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,121,35,1
2021,2021-03-30,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,122,27,1
2021,2021-12-28,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,122,36,1
2022,2022-07-19,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,40,43,1
2022,2022-10-31,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,40,46,1
2022,2022-05-25,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,45,41,1
2022,2022-06-14,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,50,42,1
2022,2022-05-25,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,122,41,1
2022,2022-06-23,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,122,42,1
2022,2022-12-11,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,122,48,1
2022,2022-11-03,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,123,47,1
2023,2023-10-27,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,46,58,1
2023,2023-11-08,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,50,59,1
2023,2023-10-26,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,52,58,1
2023,2023-05-14,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,121,53,1
2023,2023-06-13,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,121,54,1
2023,2023-02-09,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,122,50,1
2023,2023-12-21,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,123,60,1
2024,2024-06-03,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,42,66,1
2024,2024-05-28,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,49,65,1
2024,2024-03-15,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Bronx,50,63,1
2024,2024-01-31,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,120,61,1
2024,2024-01-05,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,121,61,1
2024,2024-03-16,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,122,63,1
2024,2024-05-29,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,122,65,1
2024,2024-06-17,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,122,66,1
2024,2024-03-28,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Staten,123,63,1
2019,2019-09-02,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,100,9,1
2019,2019-12-24,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,101,12,1
2019,2019-06-08,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,102,6,1
2019,2019-03-05,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,104,3,1
2019,2019-03-22,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,104,3,1
2019,2019-08-21,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,104,8,1
2019,2019-03-05,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,3,1
2019,2019-03-16,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,3,1
2019,2019-10-01,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,10,1
2019,2019-06-26,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,112,6,1
2019,2019-11-05,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,112,11,1
2019,2019-01-17,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,114,1,1
2019,2019-06-26,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,114,6,1
2019,2019-12-04,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,114,12,1
2019,2019-10-22,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,115,10,1
2019,2019-12-27,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,115,12,1
2020,2020-01-19,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,101,13,1
2020,2020-01-13,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,13,1
2020,2020-01-31,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,13,1
2020,2020-03-09,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,15,1
2020,2020-09-10,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,21,1
2020,2020-09-10,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,21,1
2020,2020-11-19,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,23,1
2020,2020-02-13,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,111,14,1
2020,2020-11-06,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,111,23,1
2020,2020-09-21,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,112,21,1
2021,2021-07-14,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,101,31,1
2021,2021-05-25,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,102,29,1
2021,2021-11-14,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,102,35,1
2021,2021-04-19,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,108,28,1
2021,2021-05-31,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,108,29,1
2021,2021-05-31,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,108,29,1
2021,2021-05-31,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,110,29,1
2021,2021-05-31,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,110,29,1
2021,2021-06-02,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,110,30,1
2021,2021-06-03,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,110,30,1
2021,2021-06-03,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,110,30,1
2021,2021-11-22,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,111,35,1
2021,2021-09-11,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,112,33,1
2021,2021-06-01,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,114,30,1
2021,2021-11-11,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,114,35,1
2022,2022-09-30,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,101,45,1
2022,2022-03-13,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,102,39,1
2022,2022-04-14,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,103,40,1
2022,2022-07-19,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,103,43,1
2022,2022-04-29,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,104,40,1
2022,2022-05-17,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,104,41,1
2022,2022-07-26,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,105,43,1
2022,2022-02-24,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,38,1
2022,2022-10-06,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,46,1
2022,2022-08-21,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,109,44,1
2022,2022-05-16,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,111,41,1
2022,2022-02-10,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,115,38,1
2023,2023-01-16,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,102,49,1
2023,2023-11-02,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,104,59,1
2023,2023-03-28,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,105,51,1
2023,2023-12-13,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,106,60,1
2023,2023-02-16,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,50,1
2023,2023-05-01,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,53,1
2023,2023-05-26,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,53,1
2023,2023-10-12,Jewish,Felony,Misc. Penal Law,Aggravated Harassment 1,Queens,107,58,1
